stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
B_1067,1067,ARMUNGIA,,39.52237,9.381247,B_1067
B_11122,11122,ARMUNGIA VIA EMILIO LUSSU 26,,39.52070,9.377318,B_11122
B_2022,2022,BIVIO ARMUNGIA SS 387,,39.53748,9.394433,B_2022
B_1014,1014,ASSEMINI VIA CARMINE,,39.2860,9.006772,B_1014
B_10317,10317,ASSEMINI VIA CAGLIARI-CHIESA,,39.29416,8.990266,B_10317
B_1448,1448,MACCHIAREDDU CONTIVECCHI,,39.22413,9.02434,B_1448
B_1452,1452,BIVIO PEDEMONTANA SS130,,39.28241,9.026018,B_1452
B_1439,1439,MACCHIAREDDU DORS_CONS MURGIA EST,,39.2561,8.970202,B_1439
B_1440,1440,MACCHIAREDDU FR ELSA,,39.24800,8.991529,B_1440
B_1441,1441,MACCHIAREDDU SAVINIL,,39.24403,8.992456,B_1441
B_1442,1442,MACCHIAREDDU FR BRIDGESTONE,,39.24076,8.985481,B_1442
B_1443,1443,MACCHIAREDDU DICOVISA,,39.23954,8.980869,B_1443
B_1444,1444,MACCHIAREDDU SARMAPLAST,,39.23501,8.980511,B_1444
B_1445,1445,MACCHIAREDDU  NIVEA,,39.23071,8.983594,B_1445
B_1446,1446,MACCHIAREDDU  FLUORSID-PUSCEDDU,,39.23239,8.994752,B_1446
B_1447,1447,MACCHIAREDDU ENICHEM,,39.23311,9.011807,B_1447
B_1062,1062,BALLAO,,39.54932,9.362179,B_1062
B_2023,2023,BALLAO VIA CAGLIARI,,39.54792,9.359169,B_2023
B_1616,1616,BARRALI,,39.47743,9.101131,B_1616
B_10702,10702,BARRALI VIA DONORI 30A,,39.472897,9.1037752,B_10702
B_10703,10703,BARRALI PIAZZA AI CADUTI,,39.473997,9.1026026,B_10703
B_1301,1301,BIVIO BARRALI NO FERMATA,,39.48529,9.099921,B_1301
B_1056,1056,BURCEI,,39.34664,9.361548,B_1056
B_10164,10164,BURCEI VIA ROMA-Q8,,39.33758,9.362186,B_10164
B_10166,10166,BURCEI VIA ROMA CIV 135,,39.34184,9.360479,B_10166
B_10167,10167,BURCEI VIA ROMA  83,,39.34394,9.360397,B_10167
B_10165,10165,BURCEI VIA ROMA FR CIV 184,,39.33934,9.361534,B_10165
B_10426,10426,CANT. CANNAS,,39.33207,9.429175,B_10426
B_1000,1000,CAGLIARI AUTOSTAZIONE ARST,,39.21460,9.108746,B_1000
B_1001,1001,CAGLIARI VIALE MONASTIR 23,,39.23552,9.097006,B_1001
B_1002,1002,CAGLIARI VIA MAGLIAS-MEUCCI,,39.22802,9.108963,B_1002
B_1046,1046,CAGLIARI BUON PASTORE,,39.22196,9.126342,B_1046
B_1132,1132,CAGLIARI PIAZZA GIOVANNI XXIII,,39.227278,9.1263171,B_1132
B_1164,1164,CAGLIARI V.LE COLOMBO-ALBERTI,,39.20939,9.118478,B_1164
B_1165,1165,CAGLIARI P. CENTOMILA BONARIA,,39.20747,9.124397,B_1165
B_1166,1166,CAGLIARI VIA CASTIGLIONE,,39.22883,9.128324,B_1166
B_1168,1168,CAGLIARI CONSERVATORIO,,39.22487,9.121134,B_1168
B_1171,1171,CAGLIARI VIALE MERELLO,,39.22342,9.108621,B_1171
B_1172,1172,CAGLIARI VIA MAGLIAS - AZUNI,,39.23154,9.104659,B_1172
B_1173,1173,CAGLIARI VIA CORNALIAS-QUIRRA,,39.24033,9.107528,B_1173
B_1174,1174,CAGLIARI VIA CORNALIAS-SULCIS,,39.24250,9.105602,B_1174
B_1175,1175,CAGLIARI VIA PIERO.DELLA FRANCESCA,,39.25068,9.103111,B_1175
B_1222,1222,CAGLIARI VIALE BONARIA RAI,,39.21012,9.122337,B_1222
B_1223,1223,CAGLIARI VIALE LA PLAIA-OVIESSE,,39.21493,9.104483,B_1223
B_1227,1227,CAGLIARI VIA RIVA DI PONENTE,,39.2141,9.10408,B_1227
B_1246,1246,SS131 BV. VIA GHERARDO DELLE NOTTI TRANSITO,,39.25410,9.091642,B_1246
B_1256,1256,CAGLIARI V.LE TRIESTE-EE.LL.,,39.2250,9.101034,B_1256
B_1257,1257,CAGLIARI V.LE SANT'AVENDRACE 252,,39.23250,9.097639,B_1257
B_1268,1268,CAGLIARI PIAZZA REPUBBLICA,,39.2160,9.124823,B_1268
B_1347,1347,CAGLIARI VIA ROMA F.S.,,39.216077,9.1088172,B_1347
B_1454,1454,CAGLIARI PIAZZA SAN MICHELE,,39.2382,9.099735,B_1454
B_1458,1458,CAGLIARI PIAZZA SAN MICHELE,,39.23744,9.100457,B_1458
B_1620,1620,CAGLIARI VIA IS MIRRIONIS,,39.23705,9.105953,B_1620
B_1621,1621,CAGLIARI PIAZZA REPUBBLICA,,39.21716,9.124944,B_1621
B_1622,1622,CAGLIARI PIAZZA DEFFENU,,39.21094,9.11584,B_1622
B_1624,1624,CAGLIARI VIA SONNINO LEG. CC,,39.21557,9.1204,B_1624
B_1626,1626,CAGLIARI VIA BACAREDDA-MERCATO,,39.22332,9.121676,B_1626
B_1627,1627,CAGLIARI VIALE CIUSA,,39.2295,9.120007,B_1627
B_1637,1637,CAGLIARI PIAZZA MATTEOTTI - ESTERNO,,39.2149,9.109151,B_1637
